PANEL	GROUP	TARGETS	BASES
AML	CAM2026_new_entities	8	2557524
AML	ELN_risk_and_comutation	14	3337363
AML	HOX_class_splitters	3	479480
AML	KMT2A_partners	12	3283999
AML	MPN_eosinophilia_fusions	21	4473854
AML	Ph_like_kinase_partners	2	267190
AML	TF_programme_anchors	3	534736
AML	fusion_anchors	13	6723445
AML	named_intervals	2	320000
AML	rare_kinase_fusions_MDS_MPN	9	2954107
AML	rare_paediatric_anchors	26	5078427
AML	shared_anchors_KMT2A_NUP98	3	839126
AML	subtype_anchors	1	345704
AML	therapeutic_actionability	3	435569
ALL	CAM2026_new_entities	2	1137865
ALL	ELN_risk_and_comutation	7	2066559
ALL	HOX_class_splitters	1	222545
ALL	KMT2A_partners	12	3283999
ALL	MPN_eosinophilia_fusions	5	979981
ALL	PAX5alt_partners	9	5222213
ALL	Ph_like_kinase_partners	35	9500966
ALL	TF_programme_anchors	19	2760905
ALL	fusion_anchors	1	2000000
ALL	named_intervals	9	6560000
ALL	rare_paediatric_anchors	5	1266748
ALL	shared_anchors_KMT2A_NUP98	3	839126
ALL	subtype_anchors	27	5235357
ALL	therapeutic_actionability	1	197303
